Structure type,Structure title,Operation,Status,Details,Source structure URL,Destination structure URL,Source structure ID,Destination structure ID,Time stamp
"Feature","LinksList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-2062-426c-90bf-714c59600103","",""
"Feature","MobilityRedirect","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","f41cc668-37e5-4743-b4a8-74d1db3fd8a4","","2018-10-26 16:59:53"
"Feature","workflowProcessList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-2d77-4a75-9fca-76516689e21a","",""
"Feature","TasksList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-a83e-497e-9ba0-7a5c597d0107","",""
"Feature","TeamCollab","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-4ea5-48d4-a4ad-7ea5c011abe5","",""
"Feature","AccSvcAddAccessApp","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","d2b9ec23-526b-42c5-87b6-852bd83e0364","",""
"Feature","BaseWeb","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","99fe402e-89a0-45aa-9163-85342e865dc8","","2018-10-26 16:59:53"
"Feature","SiteFeedController","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","5153156a-63af-4fac-b557-91bd8c315432","","2018-10-26 16:59:54"
"Feature","WorkflowTasksContentType","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","57311b7a-9afd-4ff0-866e-9393ad6647b1","",""
"Feature","HierarchyTasksList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","f9ce21f8-f437-4f7e-8bc6-946378c850f0","",""
"Feature","MDS","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","87294c72-f260-42f3-a41b-981a2ffce37a","","2018-10-26 16:59:54"
"Feature","TaskListNewsFeed","Updated","Success","","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","ff13819a-a9ac-46fb-8163-9d53357ef98d","","2018-10-26 16:59:54"
"Feature","AnnouncementsList","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-d1ce-42de-9c63-a44004ce0104","",""
"Feature","PictureLibrary","Skipped","","The site feature is already enabled","http://sibourdatest.centralus.cloudapp.azure.com/sites/Poll/Engineering","https://microsoft.sharepoint-df.com/teams/SPoMigrationtest1234","00bfea71-52d4-45b3-b544-b1c71b620109","",""
